ISSN,类别,总引用频次,影响因子,分区,issn,英文全名,中文全名(机器翻译),年文章量,投稿难易度,初审周期,主页,校验,,,,
1874-5482,计算机科学、信息系统,350,2.15,3,1874-5482,International Journal of Critical Infrastructure Protection,国际关键基础设施保护杂志,56,较易,"较慢,6-12周",https://www.journals.elsevier.com/international-journal-of-critical-infrastructure-protection/,相同,,,,
1384-6175,计算机科学、信息系统,660,2.091,3,1384-6175,geoinformatica,地理信息学,66,较易,"较慢,6-12周",https://link.springer.com/journal/10707,相同,,,,
1551-6857,计算机科学、信息系统,781,2.019,3,1551-6857,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,多媒体计算通信与应用交流,62,较易,"较慢,6-12周",https://tomm.acm.org/,相同,,,,
1022-0038,计算机科学、信息系统,2836,1.981,3,1022-0038,wireless networks,无线网络,694,容易,"很快,2-3周",https://www.springer.com/engineering/signals/journal/11276,相同,,,,
2192-1962,计算机科学、信息系统,249,1.967,3,2192-1962,HUMAN-CENTRIC COMPUTING AND INFORMATION SCIENCES,以人为中心的计算和信息科学,空,空,空,空,相同,,,,
0165-5515,计算机科学、信息系统,1792,1.939,3,0165-5515,journal of information science,信息科学杂志,108,较易,"偏慢,4-8周",https://journals.sagepub.com/home/jis,相同,,,,
1617-4909,计算机科学、信息系统,2226,1.924,3,1617-4909,Personal and Ubiquitous Computing,个人和无处不在的计算,190,容易,"一般,3-8周",https://link.springer.com/journal/779,相同,,,,
1070-986X,计算机科学、信息系统,844,1.898,3,1070-986X,ieee multimedia,ieee多媒体杂志,46,较易,>12周，或约稿,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=93,相同,,,,
1047-3203,计算机科学、信息系统,2744,1.836,3,1047-3203,journal of visual communication and image representation,视觉传达与图像表示杂志,191,容易,"一般,3-8周",https://www.journals.elsevier.com/journal-of-visual-communication-and-image-representation/,相同,,,,
1550-1477,计算机科学、信息系统,4254,1.787,3,1550-1477,international journal of distributed sensor networks,国际分布式传感器网络杂志,669,容易,"很快,2-3周",https://journals.sagepub.com/home/dsn,相同,,,,
1742-2876,计算机科学、信息系统,891,1.771,3,1742-2876,Digital Investigation,数字调查,62,较易,"较慢,6-12周",https://www.journals.elsevier.com/digital-investigation/,相同,,,,
1046-8188,计算机科学、信息系统,1582,1.767,3,1046-8188,acm transactions on information systems,ACM信息系统事务,50,较易,"较慢,6-12周",https://tois.acm.org/,相同,,,,
0219-6220,计算机科学、信息系统,852,1.755,3,0219-6220,international journal of information technology & decision making,国际信息技术与决策杂志,67,较易,"较慢,6-12周",https://www.worldscientific.com/worldscinet/ijitdm,相同,,,,
1064-7570,计算机科学、信息系统,351,1.75,3,1064-7570,Journal of Network and Systems Management,网络与系统管理杂志,75,较易,"较慢,6-12周",https://www.springer.com/computer/communication+networks/journal/10922,相同,,,,
0947-3602,计算机科学、信息系统,526,1.75,3,0947-3602,requirements engineering,需求工程,24,较易,>12周，或约稿,https://link.springer.com/journal/766,相同,,,,
0004-5411,计算机科学、信息系统,6167,1.744,4,0004-5411,journal of the acm,ACM杂志,40,较易,>12周，或约稿,https://jacm.acm.org/,相同,,,,
1533-5399,计算机科学、信息系统,482,1.727,4,1533-5399,ACM TRANSACTIONS ON INTERNET TECHNOLOGY,互联网技术交流,50,较易,"较慢,6-12周",https://toit.acm.org/,相同,,,,
0942-4962,计算机科学、信息系统,726,1.703,4,0942-4962,multimedia systems,多媒体系统,58,较易,"较慢,6-12周",https://www.springer.com/computer/security+and+cryptology/journal/530,相同,,,,
1751-7575,计算机科学、信息系统,597,1.683,4,1751-7575,ENTERPRISE INFORMATION SYSTEMS,企业信息系统,77,较易,"较慢,6-12周",https://www.tandfonline.com/toc/teis20/current,相同,,,,
1468-4527,计算机科学、信息系统,1218,1.675,4,1468-4527,online information review,在线信息回顾,130,容易,"偏慢,4-8周",https://www.emeraldinsight.com/journal/oir,相同,,,,
1615-5262,计算机科学、信息系统,526,1.658,4,1615-5262,INTERNATIONAL JOURNAL OF INFORMATION SECURITY,国际信息安全杂志,37,命中率约75%,平均1月,https://www.springer.com/computer/security+and+cryptology/journal/10207,相同,,,,
1520-9202,计算机科学、信息系统,592,1.618,4,1520-9202,IT PROFESSIONAL,信息技术专业,150,,"一般,3-8周",http://www.medsci.cn/sci/url.do?id=b90d11930&q=w,相同,,,,
1386-7857,计算机科学、信息系统,1163,1.601,4,1386-7857,cluster computing-the journal of networks software tools and applications,集群计算网络软件工具和应用杂志,286,容易,"一般,3-6周",https://www.springer.com/computer/communication+networks/journal/10586,相同,,,,
0887-4417,计算机科学、信息系统,928,1.557,4,0887-4417,journal of computer information systems,计算机信息系统杂志,40,较易,>12周，或约稿,https://www.tandfonline.com/loi/ucis20,相同,,,,
1380-7501,计算机科学、信息系统,4753,1.541,4,1380-7501,multimedia tools and applications,多媒体工具和应用,2393,命中率约50%,平均6月,https://www.springer.com/computer/information+systems+and+applications/journal/11042,相同,,,,
0026-1270,计算机科学、信息系统,1462,1.531,4,0026-1270,methods of information in medicine,医学信息方法,184,容易,"一般,3-8周",http://www.medsci.cn/sci/url.do?id=c61d4769&q=w,相同,,,,
1936-6442,计算机科学、信息系统,475,1.514,4,1936-6442,PEER-TO-PEER NETWORKING AND APPLICATIONS,对等网络和应用程序,198,,"一般,3-8周",https://www.springer.com/engineering/signals/journal/12083,相同,,,,
1556-4681,计算机科学、信息系统,895,1.489,4,1556-4681,ACM Transactions on Knowledge Discovery from Data,ACM数据知识发现事务,27,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=9bbb11723&q=w,相同,,,,
1386-4564,计算机科学、信息系统,871,1.488,4,1386-4564,information retrieval,信息检索,26,容易,>12周，或约稿,https://link.springer.com/journal/10791,相同,,,,
0169-023X,计算机科学、信息系统,1520,1.467,4,0169-023X,data & knowledge engineering,数据与知识工程,32,命中率约75%,平均12月,https://www.journals.elsevier.com/data-and-knowledge-engineering/,相同,,,,
2050-3806,计算机科学、信息系统,193,1.461,4,2050-3806,ASLIB JOURNAL OF INFORMATION MANAGEMENT,ASLIB信息管理杂志,92,容易,"较慢,6-12周",http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=ajim,相同,,,,
1868-5137,计算机科学、信息系统,515,1.423,4,1868-5137,Journal of Ambient Intelligence and Humanized Computing,环境智能与人性化计算杂志,156,容易,"一般,3-8周",https://www.springer.com/engineering/computational+intelligence+and+complexity/journal/12652,相同,,,,
1091-9392,计算机科学、信息系统,321,1.421,4,1091-9392,journal of organizational computing and electronic commerce,组织计算与电子商务杂志,21,容易,>12周，或约稿,https://www.tandfonline.com/toc/hoce20/current,相同,,,,
0868-4952,计算机科学、信息系统,462,1.386,4,0868-4952,informatica,信息性的,76,容易,"较慢,6-12周",https://www.mii.lt/informatica/,相同,,,,
1007-0214,计算机科学、信息系统,850,1.365,4,1007-0214,TSINGHUA SCIENCE AND TECHNOLOGY,清华科技,128,容易,"偏慢,4-8周",http://qhdy.chinajournal.net.cn/WKE/WebPublication/index.aspx?mid=qhdy,相同,,,,
1570-8268,计算机科学、信息系统,961,1.348,4,1570-8268,journal of web semantics,网络语义学杂志,23,容易,>12周，或约稿,https://www.journals.elsevier.com/journal-of-web-semantics/,相同,,,,
1055-7148,计算机科学、信息系统,242,1.34,4,1055-7148,INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT,国际网络管理杂志,86,容易,"较慢,6-12周",https://onlinelibrary.wiley.com/journal/10991190,相同,,,,
1607-9264,计算机科学、信息系统,747,1.301,4,1607-9264,JOURNAL OF INTERNET TECHNOLOGY,互联网技术杂志,328,容易,"较快,2-4周",http://jit.ndhu.edu.tw/ojs/index.php/jit,相同,,,,
1841-9836,计算机科学、信息系统,752,1.29,4,1841-9836,INTERNATIONAL JOURNAL OF COMPUTERS COMMUNICATIONS & CONTROL,国际计算机通讯与控制杂志,177,容易,"一般,3-8周",http://univagora.ro/jour/index.php/ijccc/,相同,,,,
0163-5808,计算机科学、信息系统,1637,1.261,4,0163-5808,sigmod record,西格莫德唱片,28,容易,>12周，或约稿,https://sigmodrecord.org/,相同,,,,
1058-0530,计算机科学、信息系统,722,1.255,4,1058-0530,information systems management,信息系统管理,32,容易,>12周，或约稿,https://www.tandfonline.com/toc/uism20/current,相同,,,,
1229-2370,计算机科学、信息系统,905,1.252,4,1229-2370,journal of communications and networks,通信与网络杂志,140,容易,"偏慢,4-8周",http://www.medsci.cn/sci/url.do?id=65aa6865&q=w,相同,,,,
1540-7993,计算机科学、信息系统,1410,1.239,4,1540-7993,ieee security & privacy,IEEE安全与隐私,93,容易,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8013,相同,,,,
1556-4665,计算机科学、信息系统,420,1.216,4,1556-4665,ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,关于自主和自适应系统的ACM事务,22,容易,>12周，或约稿,https://taas.acm.org/,相同,,,,
1387-974X,计算机科学、信息系统,476,1.203,4,1387-974X,photonic network communications,光子网络通信,246,容易,"一般,3-6周",https://link.springer.com/journal/11107,相同,,,,
2210-5379,计算机科学、信息系统,175,1.196,4,2210-5379,Sustainable Computing-Informatics & Systems,可持续计算信息学与系统,28,容易,>12周，或约稿,https://www.sciencedirect.com/journal/sustainable-computing-informatics-and-systems,相同,,,,
0033-0337,计算机科学、信息系统,473,1.17,4,0033-0337,program-electronic library and information systems,程序电子图书馆和信息系统,52,容易,"较慢,6-12周",https://emeraldinsight.com/loi/prog,相同,,,,
1559-1131,计算机科学、信息系统,582,1.163,4,1559-1131,ACM TRANSACTIONS ON THE WEB,ACM网上交易,26,容易,>12周，或约稿,https://tweb.acm.org/,相同,,,,
1386-145X,计算机科学、信息系统,614,1.15,4,1386-145X,world wide web-internet and web information systems,万维网互联网和网络信息系统,65,容易,"较慢,6-12周",https://www.springer.com/computer/database+management+&+information+retrieval/journal/11280,相同,,,,
1573-4277,计算机科学、信息系统,363,1.113,4,1573-4277,OPTICAL SWITCHING AND NETWORKING,光交换和网络,150,容易,"一般,3-8周",https://www.journals.elsevier.com/optical-switching-and-networking/,相同,,,,
0925-9902,计算机科学、信息系统,794,1.107,4,0925-9902,journal of intelligent information systems,智能信息系统杂志,48,容易,>12周，或约稿,https://www.springer.com/computer/database+management+&+information+retrieval/journal/10844,相同,,,,
2095-2228,计算机科学、信息系统,456,1.105,4,2095-2228,FRONTIERS OF COMPUTER SCIENCE,计算机科学前沿,81,容易,"较慢,6-12周",https://www.springer.com/computer/journal/11704,相同,,,,
1939-8018,计算机科学、信息系统,747,1.088,4,1939-8018,JOURNAL OF SIGNAL PROCESSING SYSTEMS FOR SIGNAL IMAGE AND VIDEO TECHNOLOGY,信号图像和视频技术信号处理系统杂志,236,容易,"一般,3-6周",https://www.springer.com/computer/image+processing/journal/11760,相同,,,,
1741-1106,计算机科学、信息系统,142,1.071,4,1741-1106,INTERNATIONAL JOURNAL OF WEB AND GRID SERVICES,国际网络与网格服务杂志,23,容易,>12周，或约稿,https://www.inderscience.com/jhome.php?jcode=ijwgs,相同,,,,
0362-5915,计算机科学、信息系统,1165,1,4,0362-5915,acm transactions on database systems,数据库系统上的ACM事务,26,容易,>12周，或约稿,https://tods.acm.org/,相同,,,,
1361-4568,计算机科学、信息系统,156,1,4,1361-4568,NEW REVIEW OF HYPERMEDIA AND MULTIMEDIA,超媒体与多媒体新进展,13,容易,>12周，或约稿,https://www.tandfonline.com/toc/tham20/current,相同,,,,
1073-0516,计算机科学、信息系统,894,0.972,4,1073-0516,ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,计算机与人的交互交流,35,容易,>12周，或约稿,http://tochi.acm.org/,相同,,,,
0730-9295,计算机科学、信息系统,245,0.968,4,0730-9295,information technology and libraries,信息技术与图书馆,50,容易,"较慢,6-12周",https://ejournals.bc.edu/ojs/index.php/ital/index,相同,,,,
0018-8646,计算机科学、信息系统,3100,0.962,4,0018-8646,ibm journal of research and development,IBM研究与开发杂志,53,容易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=95bb2786&q=w,相同,,,,
1574-017X,计算机科学、信息系统,531,0.958,4,1574-017X,MOBILE INFORMATION SYSTEMS,移动信息系统,398,容易,"较快,2-4周",https://www.iospress.nl/journal/mobile-information-systems/,相同,,,,
0926-8782,计算机科学、信息系统,320,0.925,4,0926-8782,distributed and parallel databases,分布式和并行数据库,16,容易,>12周，或约稿,https://link.springer.com/journal/10619,相同,,,,
2095-9184,计算机科学、信息系统,237,0.91,4,2095-9184,Frontiers of Information Technology & Electronic Engineering,信息技术与电子工程前沿,324,容易,"较快,2-4周",https://www.springer.com/computer/journal/11714,相同,,,,
1939-0114,计算机科学、信息系统,1445,0.904,4,1939-0114,SECURITY AND COMMUNICATION NETWORKS,安全和通信网络,323,容易,"较快,2-4周",https://onlinelibrary.wiley.com/journal/19390122,相同,,,,
1751-8709,计算机科学、信息系统,427,0.89,4,1751-8709,IET Information Security,IET信息安全,53,容易,"较慢,6-12周",https://digital-library.theiet.org/content/journals/iet-ifs,相同,,,,
0001-5903,计算机科学、信息系统,663,0.886,4,0001-5903,acta informatica,信息学报,27,容易,>12周，或约稿,https://link.springer.com/journal/236,相同,,,,
1748-1279,计算机科学、信息系统,451,0.878,4,1748-1279,INTERNATIONAL JOURNAL OF SENSOR NETWORKS,国际传感器网络杂志,140,容易,"偏慢,4-8周",https://www.inderscience.com/jhome.php?jcode=ijsnet,相同,,,,
1876-1364,计算机科学、信息系统,362,0.878,4,1876-1364,JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS,环境智能与智能环境杂志,122,容易,"偏慢,4-8周",https://www.iospress.nl/journal/journal-of-ambient-intelligence-and-smart-environments/,相同,,,,
1530-8669,计算机科学、信息系统,2946,0.869,4,1530-8669,wireless communications & mobile computing,无线通信和移动计算,596,容易,"很快,2-3周",https://onlinelibrary.wiley.com/toc/15308677/11/8,相同,,,,
1392-124X,计算机科学、信息系统,229,0.8,4,1392-124X,INFORMATION TECHNOLOGY AND CONTROL,信息技术与控制,113,容易,"偏慢,4-8周",http://itc.ktu.lt/index.php/ITC,相同,,,,
0020-0190,计算机科学、信息系统,3461,0.793,4,0020-0190,information processing letters,信息处理信函,122,命中率约50%,平均1月,https://www.elsevier.com/journals/information-processing-letters/0020-0190,相同,,,,
1552-6283,计算机科学、信息系统,309,0.793,4,1552-6283,International Journal on Semantic Web and Information Systems,国际语义网络与信息系统杂志,34,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=81217495&q=w,相同,,,,
0010-4620,计算机科学、信息系统,3378,0.792,4,0010-4620,computer journal,计算机期刊,130,命中率约20%,平均3月,https://academic.oup.com/comjnl,相同,,,,
1570-5838,计算机科学、信息系统,165,0.774,4,1570-5838,APPLIED ONTOLOGY,应用本体论,17,容易,>12周，或约稿,https://www.iospress.nl/journal/applied-ontology/,相同,,,,
1551-9899,计算机科学、信息系统,308,0.753,4,1551-9899,AD HOC & SENSOR WIRELESS NETWORKS,即席无线网络和传感器无线网络,126,容易,"偏慢,4-8周",http://www.medsci.cn/sci/url.do?id=b2359759&q=w,相同,,,,
1546-2234,计算机科学、信息系统,189,0.744,4,1546-2234,JOURNAL OF ORGANIZATIONAL AND END USER COMPUTING,组织和最终用户计算杂志,28,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=55ad11614&q=w,相同,,,,
1743-8225,计算机科学、信息系统,357,0.648,4,1743-8225,INTERNATIONAL JOURNAL OF AD HOC AND UBIQUITOUS COMPUTING,国际即席和无所不在计算杂志,130,容易,"偏慢,4-8周",https://www.inderscience.com/info/inarticletoc.php?jcode=ijahuc&year=2005&vol=1&issue=1/2,相同,,,,
1820-0214,计算机科学、信息系统,359,0.613,4,1820-0214,COMPUTER SCIENCE AND INFORMATION SYSTEMS,计算机科学与信息系统,51,容易,"较慢,6-12周",http://www.comsis.org/,相同,,,,
1976-7277,计算机科学、信息系统,790,0.611,4,1976-7277,KSII Transactions on Internet and Information Systems,互联网和信息系统上的KSII交易,656,容易,"很快,2-3周",http://www.medsci.cn/sci/url.do?id=dd0a11126&q=w,相同,,,,
1548-0992,计算机科学、信息系统,999,0.502,4,1548-0992,IEEE LATIN AMERICA TRANSACTIONS,IEEE拉丁美洲交易,592,容易,"很快,2-3周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=9907,相同,,,,
1745-1361,计算机科学、信息系统,1583,0.5,4,1745-1361,ieice transactions on information and systems,信息与系统交易,392,容易,"较快,2-4周",https://www.jstage.jst.go.jp/browse/transinf,相同,,,,
1683-3198,计算机科学、信息系统,524,0.466,4,1683-3198,INTERNATIONAL ARAB JOURNAL OF INFORMATION TECHNOLOGY,国际阿拉伯信息技术杂志,175,容易,"一般,3-8周",http://iajit.org/,相同,,,,
2471-2566,计算机科学、信息系统,8,0.444,4,2471-2566,ACM TRANSACTIONS ON PRIVACY AND SECURITY,ACM隐私和安全事务,38,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=144e13051&q=w,相同,,,,
1545-7362,计算机科学、信息系统,101,0.405,4,1545-7362,International Journal of Web Services Research,国际网络服务研究杂志,22,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=ab8a7497&q=w,相同,,,,
0988-3754,计算机科学、信息系统,254,0.35,4,0988-3754,rairo-theoretical informatics and applications,雷罗理论信息学及其应用,11,容易,>12周，或约稿,https://www.rairo-ita.org/,相同,,,,
1745-1337,计算机科学、信息系统,1602,0.337,4,1745-1337,ieice transactions on fundamentals of electronics communications and computer sciences,电子通信与计算机科学基础汇刊,779,命中率约62.5%,平均4.5月,https://www.jstage.jst.go.jp/browse/transfun,相同,,,,
1016-2364,计算机科学、信息系统,598,0.327,4,1016-2364,journal of information science and engineering,信息科学与工程杂志,96,容易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=27723906&q=w,相同,,,,
0315-5986,计算机科学、信息系统,419,0.257,4,0315-5986,infor,信息,18,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=e6b03134&q=w,相同,,,,
1063-8016,计算机科学、信息系统,169,0.231,4,1063-8016,journal of database management,数据库管理杂志,16,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=6b4d3668&q=w,相同,,,,
0218-8430,计算机科学、信息系统,185,0.2,4,0218-8430,international journal of cooperative information systems,国际合作信息系统杂志,15,容易,>12周，或约稿,https://www.worldscientific.com/worldscinet/ijcis,相同,,,,
1548-7660,计算机科学，跨学科应用,14900,22.737,1,1548-7660,journal of statistical software,统计软件杂志,185,极难,"一般,3-8周",https://www.jstatsoft.org/index,相同,,,,
1134-3060,计算机科学，跨学科应用,1523,6.605,1,1134-3060,archives of computational methods in engineering,工程计算方法档案,107,较难,"偏慢,4-8周",https://www.springer.com/engineering/computational+intelligence+and+complexity/journal/11831,相同,,,,
0278-0062,计算机科学，跨学科应用,17837,6.131,1,0278-0062,ieee transactions on medical imaging,医学影像学汇刊,1129,命中率约5%,平均2月,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=42,相同,,,,
1093-9687,计算机科学，跨学科应用,2583,5.475,1,1093-9687,computer-aided civil and infrastructure engineering,计算机辅助土木与基础设施工程,295,命中率约75%,平均3月,https://onlinelibrary.wiley.com/journal/14678667,相同,,,,
1551-3203,计算机科学，跨学科应用,8513,5.43,1,1551-3203,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,工业信息学汇刊,1336,很难,"超快,1-2周",http://www.medsci.cn/sci/url.do?id=3c0d3008&q=w,相同,,,,
1361-8415,计算机科学，跨学科应用,6383,5.356,2,1361-8415,medical image analysis,医学图像分析,444,命中率约25%,平均3月,https://www.elsevier.com/journals/medical-image-analysis/1361-8415,相同,,,,
0360-1315,计算机科学，跨学科应用,13146,4.538,2,0360-1315,computers & education,计算机与教育,150,较易,"一般,3-8周",https://www.journals.elsevier.com/computers-and-education/,相同,,,,
1067-5027,计算机科学，跨学科应用,8713,4.27,2,1067-5027,journal of the american medical informatics association,美国医学信息学协会杂志,720,很难,"很快,2-3周",https://academic.oup.com/jamia,相同,,,,
1364-8152,计算机科学，跨学科应用,11551,4.177,2,1364-8152,environmental modelling & software,环境建模与软件,625,命中率约5%,平均9月,https://www.journals.elsevier.com/environmental-modelling-and-software/,相同,,,,
1084-8045,计算机科学，跨学科应用,5072,3.991,2,1084-8045,journal of network and computer applications,网络与计算机应用杂志,269,较易,"一般,3-6周",http://www.medsci.cn/sci/url.do?id=2a354101&q=w,相同,,,,
1568-4946,计算机科学，跨学科应用,14474,3.907,2,1568-4946,applied soft computing,应用软计算,622,命中率约25%,平均24月,https://www.elsevier.com/journals/applied-soft-computing/1568-4946,相同,,,,
1758-2946,计算机科学，跨学科应用,2117,3.893,2,1758-2946,Journal of cheminformatics,化学信息学杂志,134,,"偏慢,4-8周",https://jcheminf.biomedcentral.com,相同,,,,
1539-2791,计算机科学，跨学科应用,1104,3.852,2,1539-2791,neuroinformatics,神经信息学,54,较难,"较慢,6-12周",https://link.springer.com/journal/12021,相同,,,,
2168-2194,计算机科学，跨学科应用,2922,3.85,2,2168-2194,IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,IEEE生物医学与健康信息学杂志,282,较易,"一般,3-6周",https://jbhi.embs.org/,相同,,,,
1549-9596,计算机科学，跨学科应用,14365,3.804,2,1549-9596,journal of chemical information and modeling,化学信息与建模杂志,762,命中率约25%,平均1.5月,https://pubs.acs.org/journal/jcisd8,相同,,,,
0010-4655,计算机科学，跨学科应用,18470,3.748,2,0010-4655,computer physics communications,计算机物理通信,582,命中率约25%,平均6月,https://www.elsevier.com/journals/computer-physics-communications/0010-4655,相同,,,,
1069-2509,计算机科学，跨学科应用,587,3.667,2,1069-2509,integrated computer-aided engineering,综合计算机辅助工程,26,一般,>12周，或约稿,https://content.iospress.com/journals/integrated-computer-aided-engineering/Preprint/Preprint,相同,,,,
1751-1577,计算机科学，跨学科应用,2334,3.484,2,1751-1577,JOURNAL OF INFORMETRICS,信息计量学,214,,"一般,3-6周",http://www.medsci.cn/sci/url.do?id=bbd313067&q=w,相同,,,,
0736-5845,计算机科学，跨学科应用,3366,3.464,2,0736-5845,robotics and computer-integrated manufacturing,机器人与计算机集成制造,232,较难,"一般,3-6周",https://www.journals.elsevier.com/robotics-and-computer-integrated-manufacturing/,相同,,,,
0894-4393,计算机科学，跨学科应用,1631,3.253,2,0894-4393,social science computer review,社会科学计算机评论,92,一般,"较慢,6-12周",https://journals.sagepub.com/home/ssc,相同,,,,
0965-9978,计算机科学，跨学科应用,3648,3.198,2,0965-9978,advances in engineering software,工程软件进展,234,较易,"一般,3-6周",https://www.elsevier.com/journals/advances-in-engineering-software/0965-9978,相同,,,,
0360-8352,计算机科学，跨学科应用,9868,3.195,3,0360-8352,computers & industrial engineering,计算机与工业工程,905,命中率约26.66%,平均14月,https://www.elsevier.com/journals/computers-and-industrial-engineering/0360-8352,相同,,,,
0266-352X,计算机科学，跨学科应用,5874,3.138,3,0266-352X,computers and geotechnics,计算机与岩土工程,817,较易,"超快,1-2周",https://www.elsevier.com/journals/computers-and-geotechnics/0266-352X,相同,,,,
0098-1354,计算机科学，跨学科应用,11846,3.113,3,0098-1354,computers & chemical engineering,计算机与化工,630,命中率约50%,平均6月,https://www.journals.elsevier.com/computers-and-chemical-engineering/,相同,,,,
0305-0548,计算机科学，跨学科应用,11297,2.962,3,0305-0548,computers & operations research,计算机与运筹学,526,较易,"很快,2-3周",https://www.elsevier.com/journals/computers-and-operations-research/0305-0548,相同,,,,
0263-5577,计算机科学，跨学科应用,2990,2.948,3,0263-5577,industrial management & data systems,工业管理和数据系统,252,容易,"一般,3-6周",https://www.emeraldinsight.com/loi/imds,相同,,,,
0045-7949,计算机科学，跨学科应用,13157,2.887,3,0045-7949,computers & structures,计算机和结构,361,命中率约80%,平均3月,https://www.elsevier.com/journals/computers-and-structures/0045-7949,相同,,,,
1532-0464,计算机科学，跨学科应用,5871,2.882,3,1532-0464,journal of biomedical informatics,生物医学信息学杂志,323,较易,"较快,2-4周",https://www.journals.elsevier.com/journal-of-biomedical-informatics,相同,,,,
1615-147X,计算机科学，跨学科应用,6629,2.876,3,1615-147X,structural and multidisciplinary optimization,结构和多学科优化,478,命中率约58.33%,平均6月,https://www.springer.com/engineering/mechanics/journal/158,相同,,,,
0021-9991,计算机科学，跨学科应用,47028,2.864,3,0021-9991,journal of computational physics,计算物理杂志,1491,命中率约37.5%,平均4.5月,https://www.elsevier.com/journals/journal-of-computational-physics/0021-9991,相同,,,,
0166-3615,计算机科学，跨学科应用,3183,2.85,3,0166-3615,computers in industry,工业计算机,59,较易,平均12月,https://www.journals.elsevier.com/computers-in-industry/,相同,,,,
2213-1337,计算机科学，跨学科应用,407,2.754,3,2213-1337,Astronomy and Computing,天文学与计算,72,命中率约75%,平均6月,https://www.journals.elsevier.com/astronomy-and-computing/,相同,,,,
1420-0597,计算机科学，跨学科应用,1795,2.726,3,1420-0597,computational geosciences,计算地球科学,170,容易,"一般,3-8周",https://link.springer.com/journal/10596,相同,,,,
0169-2607,计算机科学，跨学科应用,5915,2.674,3,0169-2607,computer methods and programs in biomedicine,生物医学中的计算机方法和程序,638,命中率约37.5%,平均4.6月,https://www.journals.elsevier.com/computer-methods-and-programs-in-biomedicine/,相同,,,,
1567-4223,计算机科学，跨学科应用,1789,2.582,3,1567-4223,Electronic Commerce Research and Applications,电子商务研究与应用,45,较易,>12周，或约稿,https://www.journals.elsevier.com/electronic-commerce-research-and-applications/,相同,,,,
0340-6253,计算机科学，跨学科应用,2239,2.58,3,0340-6253,match-communications in mathematical and in computer chemistry,数学和计算机化学中的匹配通信,282,命中率约50%,平均2.3月,http://match.pmf.kg.ac.rs/,相同,,,,
0098-3004,计算机科学，跨学科应用,9535,2.567,3,0098-3004,computers & geosciences,计算机与地球科学,388,容易,"较快,2-4周",https://www.journals.elsevier.com/computers-and-geosciences/,相同,,,,
1545-5963,计算机科学，跨学科应用,2296,2.428,3,1545-5963,ieee-acm transactions on computational biology and bioinformatics,计算生物学和生物信息学汇刊,419,较易,"较快,2-4周",https://www.computer.org/portal/web/tcbb,相同,,,,
0168-1699,计算机科学，跨学科应用,6518,2.427,3,0168-1699,computers and electronics in agriculture,农业计算机与电子,403,命中率约25%,平均1月,https://www.elsevier.com/journals/computers-and-electronics-in-agriculture/0168-1699,相同,,,,
1432-7643,计算机科学，跨学科应用,4456,2.367,3,1432-7643,soft computing,软件计算,539,容易,"很快,2-3周",https://www.springer.com/engineering/computational+intelligence+and+complexity/journal/500,相同,,,,
0920-654X,计算机科学，跨学科应用,3853,2.356,3,0920-654X,journal of computer-aided molecular design,计算机辅助分子设计杂志,225,较易,平均2月,http://www.medsci.cn/sci/url.do?id=96aa3639&q=w,相同,,,,
1062-936X,计算机科学，跨学科应用,946,2.227,3,1062-936X,sar and qsar in environmental research,环境研究中的sar和qsar,273,较易,"一般,6-12周",https://www.tandfonline.com/toc/gsar20/current,相同,,,,
0045-7930,计算机科学，跨学科应用,8975,2.221,3,0045-7930,computers & fluids,计算机和流体,309,较易,"较快,2-4周",https://www.elsevier.com/journals/computers-and-fluids/0045-7930,相同,,,,
0138-9130,计算机科学，跨学科应用,8766,2.173,3,0138-9130,scientometrics,科学计量学,822,命中率约75%,平均2月,https://link.springer.com/journal/11192,相同,,,,
0010-4825,计算机科学，跨学科应用,4649,2.115,3,0010-4825,computers in biology and medicine,生物与医学计算机,1202,命中率约41.66%,平均3月,https://www.elsevier.com/journals/computers-in-biology-and-medicine/0010-4825,相同,,,,
